IP地址,端口,TLS,数据中心,地区,城市,网络延迟
198.1.242.202,20238,TRUE,LHR,Europe,London,222 ms
198.1.242.75,20238,TRUE,LHR,Europe,London,222 ms
143.20.231.57,12110,TRUE,LHR,Europe,London,222 ms
143.20.231.144,20146,TRUE,LHR,Europe,London,222 ms
198.1.242.79,20037,TRUE,LHR,Europe,London,222 ms
143.20.231.146,20146,TRUE,LHR,Europe,London,222 ms
198.1.242.221,12036,TRUE,LHR,Europe,London,222 ms
143.20.231.213,20213,TRUE,LHR,Europe,London,222 ms
198.1.242.79,20076,TRUE,LHR,Europe,London,222 ms
198.1.242.215,20073,TRUE,LHR,Europe,London,222 ms
143.20.231.39,20122,TRUE,LHR,Europe,London,222 ms
198.1.242.71,20195,TRUE,LHR,Europe,London,222 ms
143.20.231.143,20179,TRUE,LHR,Europe,London,222 ms
198.1.242.75,18011,TRUE,LHR,Europe,London,222 ms
198.1.242.79,20041,TRUE,LHR,Europe,London,222 ms
143.20.231.107,20167,TRUE,LHR,Europe,London,222 ms
198.1.242.223,20148,TRUE,LHR,Europe,London,222 ms
198.1.242.92,14003,TRUE,LHR,Europe,London,222 ms
143.20.231.145,12123,TRUE,LHR,Europe,London,222 ms
143.20.231.212,20168,TRUE,LHR,Europe,London,222 ms
143.20.231.115,14891,TRUE,LHR,Europe,London,222 ms
198.1.242.69,20235,TRUE,LHR,Europe,London,222 ms
198.1.242.95,12001,TRUE,LHR,Europe,London,222 ms
80.93.199.10,60001,TRUE,LHR,Europe,London,222 ms
143.20.231.218,20176,TRUE,LHR,Europe,London,222 ms
198.1.242.94,20176,TRUE,LHR,Europe,London,222 ms
198.1.242.83,11401,TRUE,LHR,Europe,London,223 ms
143.20.231.140,20149,TRUE,LHR,Europe,London,223 ms
143.20.231.104,12123,TRUE,LHR,Europe,London,223 ms
198.1.242.213,20076,TRUE,LHR,Europe,London,223 ms
143.20.231.99,14330,TRUE,LHR,Europe,London,223 ms
198.1.242.77,14891,TRUE,LHR,Europe,London,223 ms
143.20.231.47,11333,TRUE,LHR,Europe,London,223 ms
143.20.231.210,20020,TRUE,LHR,Europe,London,223 ms
198.1.242.79,20195,TRUE,LHR,Europe,London,223 ms
198.1.242.212,11401,TRUE,LHR,Europe,London,223 ms
143.20.231.132,20112,TRUE,LHR,Europe,London,223 ms
143.20.231.210,17772,TRUE,LHR,Europe,London,223 ms
143.20.231.202,14330,TRUE,LHR,Europe,London,223 ms
143.20.231.53,20170,TRUE,LHR,Europe,London,223 ms
198.1.242.194,11401,TRUE,LHR,Europe,London,223 ms
198.1.242.201,11581,TRUE,LHR,Europe,London,223 ms
198.1.242.84,20126,TRUE,LHR,Europe,London,223 ms
143.20.231.131,20167,TRUE,LHR,Europe,London,223 ms
198.1.242.71,20116,TRUE,LHR,Europe,London,223 ms
143.20.231.112,12123,TRUE,LHR,Europe,London,223 ms
198.1.242.217,20224,TRUE,LHR,Europe,London,224 ms
198.1.242.214,12168,TRUE,LHR,Europe,London,224 ms
198.1.242.91,20235,TRUE,LHR,Europe,London,224 ms
143.20.231.150,20103,TRUE,LHR,Europe,London,224 ms
198.1.242.93,14891,TRUE,LHR,Europe,London,224 ms
143.20.231.152,20213,TRUE,LHR,Europe,London,224 ms
143.20.231.202,20208,TRUE,LHR,Europe,London,224 ms
143.20.231.121,20000,TRUE,LHR,Europe,London,224 ms
143.20.231.142,20000,TRUE,LHR,Europe,London,224 ms
198.1.242.79,20235,TRUE,LHR,Europe,London,224 ms
198.1.242.90,20172,TRUE,LHR,Europe,London,224 ms
198.1.242.209,20126,TRUE,LHR,Europe,London,224 ms
198.1.242.79,18113,TRUE,LHR,Europe,London,224 ms
143.20.231.152,20104,TRUE,LHR,Europe,London,224 ms
198.1.242.206,20152,TRUE,LHR,Europe,London,224 ms
143.20.231.203,20046,TRUE,LHR,Europe,London,224 ms
198.1.242.78,13323,TRUE,LHR,Europe,London,224 ms
143.20.231.42,20151,TRUE,LHR,Europe,London,224 ms
198.1.242.214,20195,TRUE,LHR,Europe,London,224 ms
198.1.242.206,20035,TRUE,LHR,Europe,London,224 ms
143.20.231.151,20208,TRUE,LHR,Europe,London,224 ms
198.1.242.201,18080,TRUE,LHR,Europe,London,224 ms
143.20.231.203,20202,TRUE,LHR,Europe,London,224 ms
198.1.242.223,20103,TRUE,LHR,Europe,London,224 ms
38.180.64.7,2056,TRUE,LHR,Europe,London,225 ms
143.20.231.154,20185,TRUE,LHR,Europe,London,225 ms
198.1.242.219,20041,TRUE,LHR,Europe,London,225 ms
143.20.231.133,20104,TRUE,LHR,Europe,London,225 ms
198.1.242.78,18110,TRUE,LHR,Europe,London,225 ms
143.20.231.202,12123,TRUE,LHR,Europe,London,225 ms
198.1.242.70,12168,TRUE,LHR,Europe,London,225 ms
198.1.242.79,20119,TRUE,LHR,Europe,London,225 ms
198.1.242.221,20213,TRUE,LHR,Europe,London,225 ms
198.1.242.71,12265,TRUE,LHR,Europe,London,225 ms
143.20.231.46,20093,TRUE,LHR,Europe,London,225 ms
143.20.231.141,20027,TRUE,LHR,Europe,London,225 ms
